Id,Price
4567,166691.66803837876
5925,121838.11292681037
960,137047.76482611132
3848,121274.34869101948
746,193966.20037697558
868,348716.380843812
672,112682.95044859631
2471,210773.99322803115
4510,113224.28958940614
8354,248971.36210021225
6393,179283.2445893445
13270,235023.92995365785
5250,246269.3996572027
16751,180128.17351675325
11404,126417.49763804245
10588,346226.5024313898
14925,186243.37258064127
6791,219450.15915502302
16097,200394.58333572416
16428,352708.37508124363
6945,351566.49712392193
3190,192037.21769998688
15709,450810.2097748047
13155,171738.57307546286
7675,192745.7331350579
14686,222095.10934154704
609,163755.85593721463
11155,145644.0668186598
10869,173520.70018560882
15742,187578.3735961152
9245,191477.9902292678
3340,169575.0194149114
2359,282080.97514125117
8070,202642.3097658975
13707,118355.09775086885
16079,274378.77857126493
15937,264543.37397683464
14090,186967.35664965212
9008,219488.1176887042
16384,176886.24720273152
11657,253280.4860847933
13151,152724.93382976283
8990,165566.8321354985
11857,186753.6163518326
1565,161342.29942612833
8174,113528.82547975323
9247,247751.2939100782
10478,221417.204582773
15509,149195.98299394804
8306,189589.66383781953
6642,188859.4006778744
7472,205511.35686414738
15989,132013.99482161444
13682,136131.7479048846
163,263288.8643797494
7076,184473.75310872938
7478,353488.677188078
3029,188961.10352437594
1814,144801.1562778659
10057,137231.8653539797
15100,191575.09509253793
12694,226796.353853383
6291,188654.38483348896
12603,203183.56429587366
3218,254548.4464941267
13456,130004.40163335399
10170,245914.70035622004
4530,152428.20750664585
13329,164951.24784469823
4820,142332.72755612037
10896,163249.6521624557
13416,116628.06179327828
2701,217364.31689756527
11265,352612.58085328084
9189,270557.73309946386
1858,192249.37149225766
14536,240639.40077030548
6199,291791.18969166995
14730,154632.58744470583
7510,283300.740097713
15505,158433.35488010064
7446,199364.62908996624
14016,182098.5218545176
14113,111813.81915739935
8721,285562.22377832216
6193,310046.64475564676
5717,177712.82706783738
5427,306440.9567198672
9520,544206.0898541317
6869,96681.81714371104
1658,151695.60490241976
6639,219845.94832300002
6283,185165.6611357294
6257,123128.33163964732
15235,186225.9954085042
902,226551.3339017662
8932,202130.93363354812
16469,342681.50028973585
2825,293091.5726139108
6450,453779.90453190636
11366,181708.37937759646
3801,343606.7060257147
11385,221619.01288776036
1079,197400.47322903437
3202,244643.33190859226
676,219180.24358341264
6185,278543.61902040767
7730,166707.36132521965
2573,185864.3961627069
10978,211560.82060900063
10962,258957.1882403971
8870,196857.58321246665
8496,179613.8296726709
5517,168228.166209305
927,183820.7935756806
13675,203415.7751493507
1499,226739.20970634927
15536,339911.38175760815
8602,362732.2925813535
12137,432765.9295119065
9865,265325.7339910496
16353,292252.0806463537
15908,220478.99774364234
3944,185721.83568229567
10359,210503.3955868506
15158,219001.15406818062
3259,267651.29269334744
7220,333618.907207641
13843,211470.76039486766
16736,182729.79594366686
702,256722.17830890598
16401,100151.49188700893
12134,178720.50046689954
6918,221411.58100511794
11792,128805.53250523834
3798,146960.17968884215
10395,128279.58719645746
11099,132364.09938517376
7090,200942.08129057425
11260,189829.37733025002
9647,223794.8115117228
2903,381559.6522494029
2071,183619.26132340322
8604,199392.47133277787
9346,221548.91903322504
3945,210164.69459588404
3420,137345.19778495005
10842,127090.59521034212
725,163284.48681382526
13931,200867.7246097145
16330,243901.85770257917
9066,430502.69676009106
3326,326215.3226738237
1556,291932.49439281615
6579,100252.32754037128
13877,141902.0472809286
9857,331688.0103626037
7302,274989.2310123667
5684,197710.52849607865
6513,219507.9336203858
11342,111474.09091061782
16561,242833.74647999217
6885,174153.85827320194
9308,186496.9405094595
2559,171836.63866004604
6648,189460.73214405426
15260,174235.4431751786
5113,188897.9706261404
16492,195309.89235859775
12034,281377.0465008726
7248,207529.10840301766
2171,212315.7791905681
10594,161762.31411687227
13241,205092.05810793905
7032,147942.59287304874
4884,156395.42007244506
903,235947.8841363259
162,163322.5503196583
6566,231753.78734176492
8249,130780.14537885346
13106,173824.81821767337
256,125415.07211109865
7976,167149.3189744092
8575,165955.07146290928
7591,292739.67607023584
3204,246672.1086228362
15804,185432.50935048977
1525,303345.01007619366
9038,198319.6796603225
13628,195227.782115882
10016,208237.1078409733
10208,231844.39956572832
2008,193813.52018083696
13029,203556.1518043358
5099,127575.20903013092
9923,296731.7449896851
9461,127400.52789577673
11086,168359.93368356375
15057,231310.9000675138
10689,169409.26206730542
2053,236112.635768671
16630,171326.36146650178
4985,163118.243590616
13881,229783.49616295812
13225,199176.94780985772
5779,65782.28824974784
10262,187336.41119923128
10762,213339.4914269516
9513,203014.3577460225
11128,162926.46876082124
2074,335233.4728525204
933,197227.43921304212
2780,191372.4775801344
6594,108399.1186082427
15394,307394.97728523763
14863,150047.26401215408
6698,210865.11478295163
1611,282467.7866151179
174,187573.07865695813
5160,207714.80947983786
3295,324066.56269708875
4559,383413.22817743185
8254,177318.13022475046
10228,101238.69814714485
13924,134845.98436013077
15341,243418.46687249863
4353,182704.29658427174
4334,67640.10185017473
1872,154689.14046255176
7823,186355.58451027804
310,144209.28637722845
3704,245422.9480913775
11615,255640.5532744531
6605,208390.97656330187
3381,193705.24756589736
2143,145593.88207447753
3191,228753.04600020163
13980,125716.44074921549
15613,173003.0974700043
10943,260096.74646327356
9654,127315.83133218065
16053,345520.46561006183
14931,223500.32319246142
8299,217174.9225127596
2147,166878.7426756593
11567,384464.79346764856
5905,136621.79846222707
11160,109060.72024540722
8275,147912.88962078796
16398,276286.8718423134
11229,182888.597754658
10309,156689.65214078617
7340,266400.11650174443
7653,163749.09557059823
272,189342.4896862822
9831,225193.24820786278
5016,136383.67592234703
5968,69017.58040775145
796,237189.2107832527
12123,124271.68310015555
16629,192778.5987670168
2637,174374.55310015037
6194,229487.2575271132
